site_id,municipio,uf,regiao,bioma,ano_inicio_obra,sensor,x_tipo_sitio,x_pct_ja_construida,x_area_footprint_ha,qualidade_par,dist_tratamento_controle_km,efeito_construcao_0_500m,score_construcao_0_500m,efeito_construcao_500m_1km,score_construcao_500m_1km,efeito_vegetacao_0_500m,score_vegetacao_0_500m,efeito_temperatura_0_500m,score_temperatura_0_500m,score_destaque_construcao_0_500m,leitura
ascenty-paulinia,Paulínia,SP,Sudeste,Mata Atlântica,2019,landsat,brownfield,50.0,1.5176,bom,20.0,6.112,100.0,7.558,100.0,5.985,100.0,1.125,83.3,100.0,converteu +6.11 p.p. a mais que o controle no anel de 500 m
ascenty-maracanau,Maracanaú,CE,Nordeste,Caatinga,2014,landsat,,,0.8215,ruim,36.0,6.084,92.9,4.731,92.9,5.239,92.9,1.298,91.7,92.9,converteu +6.08 p.p. a mais que o controle no anel de 500 m
clickip-manaus,Manaus,AM,Norte,Amazônia,2023,s2,greenfield,0.0,0.1459,ruim,32.0,5.173,85.7,3.431,85.7,2.145,78.6,,,85.7,converteu +5.17 p.p. a mais que o controle no anel de 500 m
scala-sgigsm01,São João de Meriti,RJ,Sudeste,Mata Atlântica,2022,s2,brownfield,71.26,3.6565,ruim,16.0,3.686,78.6,3.257,78.6,0.222,35.7,,,78.6,converteu +3.69 p.p. a mais que o controle no anel de 500 m
scala-tambore,Barueri,SP,Sudeste,Mata Atlântica,2021,landsat,brownfield,89.74,1.938,ruim,20.0,2.298,71.4,1.564,57.1,2.298,85.7,0.981,66.7,71.4,converteu +2.30 p.p. a mais que o controle no anel de 500 m
ascenty-vinhedo,Vinhedo,SP,Sudeste,Mata Atlântica,2019,landsat,greenfield,35.48,1.634,aceitavel,28.0,2.104,64.3,0.295,28.6,2.038,71.4,-0.804,25.0,64.3,converteu +2.10 p.p. a mais que o controle no anel de 500 m
angonap-fortaleza,Fortaleza,CE,Nordeste,Caatinga,2017,landsat,greenfield,22.22,0.9046,aceitavel,16.0,1.536,57.1,0.746,50.0,-0.669,21.4,-1.427,8.3,57.1,converteu +1.54 p.p. a mais que o controle no anel de 500 m
equinix-santana-parnaiba,Santana de Parnaíba,SP,Sudeste,Mata Atlântica,2020,landsat,greenfield,0.0,9.8868,ruim,16.0,1.46,50.0,1.609,64.3,1.171,64.3,1.825,100.0,50.0,converteu +1.46 p.p. a mais que o controle no anel de 500 m
hostdime-joao-pessoa,João Pessoa,PB,Nordeste,Mata Atlântica,2017,landsat,brownfield,50.0,0.1909,ruim,16.0,0.789,42.9,0.029,21.4,0.676,57.1,1.081,75.0,42.9,converteu +0.79 p.p. a mais que o controle no anel de 500 m
ascenty-osasco,Osasco,SP,Sudeste,Mata Atlântica,2020,landsat,brownfield,87.5,0.8102,ruim,16.0,0.357,35.7,0.39,35.7,0.357,50.0,0.606,58.3,35.7,converteu +0.36 p.p. a mais que o controle no anel de 500 m
scala-spoapa01,Porto Alegre,RS,Sul,Mata Atlântica,2023,s2,greenfield,31.58,0.1073,ruim,20.0,0.26,28.6,0.644,42.9,0.0,28.6,,,28.6,converteu +0.26 p.p. a mais que o controle no anel de 500 m
ascenty-hortolandia,Hortolândia,SP,Sudeste,Mata Atlântica,2018,landsat,greenfield,31.84,13.1197,bom,16.0,0.249,21.4,-2.044,14.3,0.249,42.9,0.42,50.0,21.4,converteu +0.25 p.p. a mais que o controle no anel de 500 m
ascenty-sumare,Sumaré,SP,Sudeste,Mata Atlântica,2017,landsat,brownfield,87.64,5.8209,ruim,28.0,-3.197,14.3,-2.759,7.1,-3.607,14.3,0.302,41.7,14.3,converteu -3.20 p.p. a mais que o controle no anel de 500 m
ascenty-jundiai,Jundiaí,SP,Sudeste,Mata Atlântica,2019,landsat,brownfield,85.71,1.0603,bom,24.0,-5.435,7.1,2.646,71.4,-5.435,7.1,-1.097,16.7,7.1,converteu -5.43 p.p. a mais que o controle no anel de 500 m
everest-goiania,Goiânia,GO,Centro-Oeste,Cerrado,2021,landsat,,,,ruim,20.0,,,,,,,-0.732,33.3,,sem par medido
